Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Year18,Year19,Year20,Year21,Year22,Year23,Year24,Year25,Year26,Year27,Year28,Year29,Year30
97,,,,52,61,,,,,43-52,,,52,,,,,,27,,85,,,50,,,,,33
,,,,,,,,,1-60,,,,,,,,72,,52,58,57,,20,,,61,,,
,,,33,,27,,,91,,,,,91,15,,,57,,72,55,8,,15,,28,,,,
,,14,,,,,,,43,,,,,91,79,63,,,52,,,20,,,96,,,,
,,,,,,11,,,52,36,,,,,,52,52,,,14,,84,,,,16,52,,
,33,,,,,,74,,,,,33,,14,,,,,,,,58,96,,,,90,83,33
8,,14,,,,40,,,,,38,,,,,,,,,,11,,,,28,,,91,23
,,,,16,81,,,97,,90-14,71-1,,,,,,,,28,,,,,,,,,,
31,,33,33,,,,,,55-83,,,,,,,,,91,,,36,,52,8,,,91,65-33,
81,57,,,,8-4,20,52,,,,91-51,81,,96,,,,,4,,,84,,,,,,,
23,71,,,,1,,,,,,20,,52,,,,,,,,,16,,,,,,,81
,,,,,11-33,,,,,,41,,,,52-96-43,,,16,81,,,52-85,21,91-81,,,,,
33,14,,,,,,,82,,52,92,,,1,,,,24,,,,8,,58,,8,,33,
,,91,74,4,,,,,,,,,,33,15,,,,,,52,,,,,,81,,
,,,,,,,,,,,,23-86,,11,,3-63,74,,,,,,,33,,91-83,,97,
,,,,,,,,,52,,,,,,,,52,,,52,,,,,,,,,
81,,,81,,49,,,,,,,,84,52,50,,,43,,4,,52-87,,,,,,,
52-33,,52-1,,1,,,81,,,58,,,,79-3,,,48,91,52-57,,,,52,,1,81,,,
91,,,95,,52,33,,,,81-41,,,,,,,88,,,,,,,,,,,91,20-91
47-57,,,,,,81,,,,,15,48,,50,81,,,,,26,,,,,,,,,
,95,,,69,11,,,8,,,,,,,,,77,16-33,3,,4-8,,,,27-16,81,,,
,,,,,,,,,,,57,20,,,,,,,52,,,72,,49,,33,,,
,74,37,,,,4,,,,91,81-33,81,,36,,91,,,,,96,,,,,,33,,80-63
4-96,,,,14,,,48-92,,,,47-94,61,,,,,,,,,74,,33,,15,,,,
,,,,,,20,,,,,,,,,,,,,,,,,,,,,,77,
35,,,,33,,20,,,,,,63,,,,,,91,,81,16,,,,,,,,
,16,,,58,,,,14,,,,,,,,97,,,,37,,,,,,,,,
52,,,43,,38,16,,,14,50,,,,,,,8,,,,65,,,14-48,,,43,,
,,,,,,,33,,,,,,,,,,,20,,,,,84,,,,43,65,
,,,33,77,91,52,,,,52,,,,,,,92,,,,,,,,,14-91,,,
52,,,,,63,,,,,36,,,,,,,,,,,,,,,,,95,,
,,,,,,14,,27,,,,,61,,,,95,,91,,,,,,,,,14,
,,,,,,52,,,,91-52,84,,,39,,,,,,,33,,,,,,,,
61,,38,,,,16,,87,1-38,,,96,45,,52,,,,,,1,,,,,11-14,,48,
,14,,,33,,94,,16,,,,,57-8,,,27,,,,14,43,,36,,,,,57,
33-84,,70-81,,,,58,,,,,,,,,,,,,,,,1-84,,,81,,,38,
49-33,,41,74-91,74,,,,,,,83-72,,,52,,,,52,,,,,,,33,,,,11
,,,91,,,,11,85,,,,,,,,,,,,52,,,33,,,,,,81
,,28-56,,,14-92,,,12,,36,,,35,,,,,,,8,,,,,14,,,,52
,91,,,,33,,,,,,52-52,,,,,58,,,,,,,14-81,,,,,,43
,91,61,52,,,,,,20,,33,81,,,,,35,,,,,,,,,,,,
,,,,84,95-52-83,,16-52,91,,,,,,,,1,,,,,,,,,,,,81,20
,,,43,,91,,,,90,16,,,86,,65,,,,,,95,,,,20,,,,
,52,81,20,,83,,,,23,,,,,,,,,,,,,21-52,,,,33,,,
,,14-57,,91,,63,,,,,,63,,,61,,,,71,,20,,52,,58-11,,33,61-8,
,47,,,,43,52,,,,,,,,8,,,,81,52,1,,,,,20,,,52,81
65,,11,,,,,,,,16,,,83,70,,70-8,,,,,,,,,,71-8,,57,
33,,,,,57,3-14,,,,61,,,,,48,,1,,33-48,,4,,,36,82,74,85,,
,81-81,85,,,,,,14,,,,,52,,33,,,33,,,,,,,70,81,,,
,,,,,15-58,,,,33,,33,50,,,,,,,1,79-11-81,14,95,,52,,,,,
,,,,95,,,48,,,,,,,,,,,,,,,,,,20,81,,,
,,,84,95,,74,36,,,84,,,,,,,88-63,,14-91,8-90,92,95,,,,,,,
,,52,,,52-91,,,,,,36-12,,,,,,,,,,33,95,33,84,,,50,,
,81,,4-33-33,81-84,,52,,,,,36-88,,,84,,,,33,,,,,,,,,81,27-14,20
,25-95,,,3,33,14,,81,,,,,,,33,,,,,,81-50,,15,,,,,81,
,,,,,,96,67,80,,,63-70,,33,,,14,,,58,15,,,,,,,,,
,,,,,,,,,,91,,,,,,,43,38,74,,61-33,,,,15,74,,,1
,33,,,,,,71,39,,4,40,52,,,,,,52-91,,83,,20,,,,8,,,
81,,,43-81,33,,91,52-91,92,37,,,,,,41,,,14,,,,81,20-52,,,45,71,,92
58-52-33,,,,,,33,,11,,,,,58-6,,,,52,3,,77,74,8-92,,,,14,74,52,
91,,,,,91,,52,,,,52,,,27,,,,,,,,,,,,27,16,,
96,,,,,,,,,,,45,,,,,,81,,,,31-95,91-34,,,,,,,
,,74,,,,,,,,65,,,,40,,,,,4,,,,,,,,65,81,81
,14,14-52,,,40-36,,85,,16,,,81,,,,,61,,,72,96,,,90,,81,,,
,,,,,,52-14,,,,,,,,52,,,52,,,79,52,91,,90,,,,,1
58,,,,,,,,21,,,,,,,,11-43-91,33,14,,46,96,,,81-33,,96,,20,16
,,,,,,,33,,,,59,,33-1,,,,25,,,33,52,81,,,,,,84,
,63-33,,,,24,,,,,52,,,,,,,14,,,,81,,,,,52,,52,
,,1,74-16,,,,,,,,,,,,11,,,,,,33,95,,,33,,,,
,43,92,,,15,14,,96,,,91,,,,,,27,63,,85,,,,,,,,,8
,,,,43-52-85,,81,79-31,8,40,,52-58,,,,,,,,15-81,1,,26,33-50,,51,,,,
,,52,,91-52,,,,,,81,,91,,,16,,,52,,,,,,,,,,,
8,,,,,,,36-96,,27,52,81,,,,,14,,,58,,,,,91,,81,,38,
,,,,,,,,14,4-84,,,88,,,91,,,,,81,,,,,,,,,91
79,,,,38,,14,,,,,,,,,,,,,,38,33,,,,,,,,16-16-70
,,,,52-91,,,,,,,85,,,,,,14,,,,,,,,63,,,,
,,,,,,,,52,11,,72,,,,,58,,,,,,,,52-14,91,,20,3,
,33,,,,,4,,,,14-77,,27,57,,,16,,,,,,33,,49,,,1,,
,52,,,,,,,,,,,,,,,,,,91,,,,33,,,,,,51-48
,,,,45,,,81,33,81,16,8,91,,,,,,95,,,,,,,,60,70,,
90,91,,96,43-91,,,,,,27,,,92,,,,14,84-52,,,,,,,33,81,,,66
,,91,,,,95,,12,,,,,,,,,,96,,,52,,84,,,,,,
16,,,70,,14,91-58,,96-92,43,,,91,,,79,14,,61,,,,31,,,20,80,,11,
,,,52,33,,69,,,52-36,16,,33,,60,8-91,,,,,,,,,,,,,,
,,,,1,,,,,,,,,33,33,,,36,15,,,,,43,8,,14,,,
,,,,,,,91,,,,,,,,,,14,,,,,,8,,,,,,70
14,,,20,,,14,,,,14,,52,,,,,81,,,,,,52-33,52,,,84,81,53
,,,,84,91-81,,1-14,,35-74,,11,,,52,52,,,33,74,20,,,,,,,,48-14,
,,,,,,91,33,20,51-11,52-31,58,,,,,,,94,,,,,,,38,,52,,
58,,,,,70,,,,,,,,,92-71,,,,,,,,,,81,83,,33-38,,
,,,,,,,,,80,,,58,,,33,,33,97-1,,,,52,57,27,,79,,14,
,,,,,,,,,60,83-52,,63,,,52,58,,,15,,,,,,,27,81,40,1
,,41,,,27,,,,74-11,11,,,50,20,84,,,,,81,52,,,,,,,81,
,,,81,,,,,,,72,,,,,,,,33,,,,20,,,,,,,
,,33,,,,,,,14,52,33,,91,33,,33,8,,83,51-95,,20,,,,18,,81-81,
,,,,,,,,,,52,,60-74,,4,,81,,,,,,,33,,,84-33,,,8
,52,,96,52,20,,,83,,,,85,,,,,,,,,,,,,,,,,
,,,,,,,,43,,20,,91,,20,,,74,,95,,,,33,33,52,95,,,16
82,,,,,,,,11,,,40,,36,,,27,60,,57,,,,23,83,,52,,52-14,31
91,81,,,,57,,,,,81,,,81,,,33,43,,81,3,11,,,,52-81,,,,38
,85-85,,79,11,,,95,48,,91,,,,,,,,,,,,38-52,,11,,,,,14
,,81,8,,,,,,,,,,,,,,,,,,,,8,,,,,58,8
,,,,,,,,,52,52,84,8,,,,57-81,,,,,90,,20,,14,33,24,,
,,90,,,14,,,52,,,15,,,,,,91,,74-91,,27,72,,14,81,50,14,,
88,43-52,,,,14,,,,,,33,8,,96,11,,,,,,33,52,,,,84-52,,92,
,34,,81,,,,43,,,,,,41,95,,,,52,,14,,,,91,,,,,
,,91-58,,,15,,,57,,,27-81,,,,41,,,52,81,,58,,,8,,,,91-40,
33,,,95,,,,,,20,91,,,,,,,,,61,43,57,92,,4,,,52,,
,,,,,,,,,,20,33-33,,,,,,,65,74-95-66,47,,,,,,,14,91-77,
,,,,57,,,,91,,,,,,,,,,,58,,,,,,,,80,,84
,,,81,,36,8,,,,,,,,,18,33,,92,,11,,11,,,,,,,87
,,,,,,83,,,20,,,,,,,,20,4,,14,59,1,,33,96,,,,
,,,,,65-33,,14,,36,,,,52,,,,,,,16,,,,,,,,,
,,81,96,52-81,,91,4,,,81,57,,40,,69,,,,,,,52,92,,52,,,,
,,,81,,,,,,,,,,,,27,,,,,,,,77,1,,,,,
,,,,,,34,20,,81,,,,63,,,,,,,,,,16,,84,,,,81
,,,91,26,33,,,,,81,63-33,,60,,57-38,,52,,,,,,,20-48,81,,1-81,,38
,,,31,58,,,,83,,,,14-74,,,92,91,,,,,33,,52,,,,,81-20,
,21,,,,,,31,,,,,,33,,,,,,52,,8,,,91,,33,,,
,,,,,,91,52,,,81,,21,,,60,,,83,,,20,,,,,71,,,
91-70-61,,,,16,,,,,,33-96,,,85,52,,,38-96,,,,,,,,94,,4,52,
,,33-81,,,,,,,,,,55,,,,,,,96-80,,,43,,14,,,,,91
52,,,,,,,,,52,,,,,14,,,,,84-43-72,63,15,,,,,,,,
,,,,,,69,33-88,,,95,,,91,,14,,48,,,,,,43,,,60,,81,
1,,3,96,52,,,,52,,,38,,,20,,,,14-20,,,,,,,,,,,
81,,,16,,72,43,,8,8,,,,,,,,,81,,,,81-71,,,52,15,,,
38,,20,,11-70,,,,47-52,,35,,,,,,,36,,,,,52-40-52,,,,,,,
,,,,,,27,,,,,,11,,,,,,83,,,,,8-95,38,33,,,,60
,,,,,26,,13,,,,,57,,,8,,,61,63,,,,,52,,43,,,
33-6-52,84,,,38,,14-85,,,81-47,,,95,,81,27-8,,,,,,52,81-33-85,,,,,,,86
33,,,92,52,,,,91-28,,,82,,,14,,,,,31,,,34,74-96,,81,,,,
,,52,,,14,,,,11,43,,,32-52,87,,,,,1,,38,,,72-91,,,52,,
,,58,,,,65,,,,,,,,,4,,,14,,,,,63,,,38-33,,,
90,35-31,,,,,40,4,,,,,,49,82,,20,,,,,,,,,,,52-43,,
,52,,57,,,,,,61,,,1-27,,52,70,88-77,43-91-52,,,,,,,,,,,,70
,,,,70,,,,,,8,,,,,,,,97,,85,33,27,,52,77,,,,57
,,20,96,,74,92,,,16,,,,,,95,,,,,74,,,,,,,20,,
,52-27,,,,,,12,52,,,,91,,,,,,,,,,,,,,,,,14-20
,52,,21,,,57,,,27,,,,,91,,,,,91-94,,,,,,,,52,,
,59,,,,88,,,,,,,,,,,97,,,50,,91,,,,92,,,,
,,,69,,81,,,,81,,,,,,,87,,,,,4,,,,,,58,51,
,,11,,43,,,,36-36,,,33,,58,,,,,72-36,,,,58,,,,,95,,
,,,14,,91,,,36,81,,91,,65,,,,,,,,,,,,14-33,,,,91
33-52,,,,52,96,,,,81,87,63,,52,,92,,,,,,81,,,,,,,33,
,,,91,,,58,,,,,,50-33,,,,,,,72-20,52,8,96-14,,,,,,,
1,,81-52-3,,,74,,60,8,,,,,,,94,,,,,,1,,,,,,,,
50,,,,,,52-52-71,,,,,,,81,80,,,,,,,,,,,,,,96,
,,1,,14,,,,90-8,,,81,,,52,69-95,,,,,,52,,,,53-14,,,,33
,,52,,,,,,20,,,33-91,,,,,,,,,,,,,,95,,,52,
33,81,14-52,,,,,71,,65,33,,,,,81,,,,58,97,,,,,,52,,,
,,92,,,,,,,,,,90,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,83,,,,,52,14,,,,,,,,,,
15,33,,,,81,,,,,81,,,70-28,71,,91-96,,,,,,,,,,,,,
14,,,14,,58,14,74,,36-50,95,,,,,,,52,,,,,,,,85,,,,
,,,,77,23,,,,,,,,,,15,,,,81,,,,,,,,,74,65-36
,,,,,91,,,,,,,,,,12-43,,43-14,,,,43,,,,,,14,,
,65,,92,81,,14,81,,,,27,14,26,,,,,91,,,33,,,51,,,52-81,,14
57,,,91,,,,,52,,,,81,,,14,,,,,,24-96,39,64,,,,33,,
,,,,,,33,,,14,,,,,,,71,,,43,,,,,50,,,,,84-81
72,,52,,,,33,,81-66,52-81,,,,,81,,,26,52-33,79-91-52,,,,,40,16-58,,,57,
,,,,,81,63,,26,,,,,,,,,,24,,4,52,,81-96-33,,20,59,,,
,,,95,52,,,,,70,,,,,,,,,4,,52,81,,,,52,81,,,81
,,52,,85,,,,,,52-37,,,,,,,,92,,,79,,69-43,52,,,,,
,,14,,,,,33,33,,,,,,,52,,,,,83,,84-1,47,91,,64,,,
,,,52,49,,,,,,,,61,,,,,,52,,,,,,,,,,,52
14,,,,,,52,52,,,14-20,36,,,,,,,,48,,,,,11-36,,,33,,
14,,33,14-83,3,,,,,52,,,26-95,,,,,1,,,,,65,91-52,,,33,,,8
,,11,14,1-81,,,,95,20,85,,,,,,14,,33,52,,,,,,58,92,,,
,,,,,84,,,,52,,95-20,,,,52,,,,,,,,,,,,28,,26
,11,,91,,,,52,,,,60,,,,,,,52,27,,,,,,33,,,,
14,,,,,,91,,20,91,52,8,,20-33,,,91,85-43,,,81,,,47,,33,,,,
,14,65,,,91,,52,81,,14-91,,,91,,,,52,52,,,,,91,,,,,,
,,,,33,,,33,,,,,61,,,90-72,88,52,,,71,,,,82,,,,,
,43,,36,,52,,,97,,,,,,,,,,,14,,81,,,,81,,,,94
58,33-61,,,,,,,,4,,40,,,33,,,34,,11,,81,,,,,,,,
,,92-52,14,,,20,24,,,,33,,,38-38,,,,,,,,,,,,94,,33,
,,,,,,,,81,32,,,,,96,81,,,,52,,,,14,81,,,,,81
,,,84,,,81,,81,8,,,,,,91-71,,11,,48,84,,14,48,,,96,,,91
,20,52,96-16-70,50,91,,,,,,20,,,90,,,52-52,,,40-52,,,,,91,,,35,
,84-81,95,,,,,,,,,74,,67-14,,,69,58,,,,,39,,,52,,16,,15
,,,52,,,,52-36,,,,33,48,,,,58,,,,,58,,,,,,,,
,40,,,,90,,,,,91,,,,,,,,,,52,14,,,,18-91-18,,,,
91,,,,,18,63,,,33,,,,,,,,27,81,27,,,,,,,,,20,
,,52,52,,,,,,,,,,,,81,61,61,,,,,52,,,16,,,,52
81,,,52,27,,,,41-33,1,,52,,,58,,,,,,,,,,,,27,,,52
33,,72-41,,,81,,81,,,,33,,,,,63,,81,27,96,,,,,,33,72,,
,,14,,63,,,,,,,,,81,,58,,,40,38-33-96-52,33,,,,,52,,,,
,49,,,,8,,,91,,,16,,,,52-52,,91,,,,,,,,,,,,
,1,,,,95,,,,,,,52,52-38,83,,,,60,,,,70,,,,,,,
,,63,,52,14,14,43,,82,,,,14,43,,,,8,,,,,33,,,,,,
,27,,,,,,,,91,,,,,,,,,60,91,,91,67,,,,,,,
,,,,,,96,,,25,65,61,95,,,52,,,,,52,64-33,,,,,,4-33,,
,,47,,,,49,,,20,,,,,,,55,,72-33,80,,60,89,,33-52,,,,,
,,,91,,91,,,,,,27,53,,,,59,,,,52,,,,,61,,,,
,,91,,,96,58-15,,,,,,,,,43-11,,32,,,,,,,18,,,,,
,81,,,,,,,,,,,,,,,65,,,,,,72,,,,,,,
,,63,,,,,,,,20-41,66,,,,,,,,,,,,,91-40,,,,,
,,,,,,92,,,,,,87,,14,,59,,,,,,,,20,14,52,,,
,8,33-90,74,33,,,,84,71,27-59,,,11,,,91,,51-91,,11,20,96,,60,,81,,,
,,,,,,,,52,1,58,,,57,,,,57,,,,,,,33,,,,,
1,,,,,,,14,,84,36,81,33,,70,96,,,,,14,96,,,16,,,15,,
33,,41,,91,52,,,,,,,,,84,,,,,71,,,81,,81,,,14,,
70-16,70,,,52,,,,,,,95,,,,,91,,79,,,,,,84,,,,52-61,58
,,,,,3,,65,81,,,,,,,,,,,,,,81-96,,,,,52,,
,48,,,23,58,,,,20-14,,,,,,,,,91,,18,,72,,,,,,,94
,,,46-91,,96-92,,,,,,,,,,,70,,,,,,,,,91-94,33,,,
,,,81,,,,,,81,52,,71,14,,,,,1,,,58,,,71,,,,,
63,,,,58,,,,,,21,,,,,,,,,,,,,58,,,,,,81
92,,50-27,,40,81,,92,,,91,,52-52,,,43,,18,71,,,81-84-64,36,33,,,,,,33
,40-97,,,,71,91-43,,,,,,,,70,,,36-52-20,,,50-96,,,,,,,,,
,14,40-81,,,,70,,,,11,82,,,,,,,,14,,52-74,,,,,81-15,,,
,,,,,,33,,,,,,,,,,,,,,16,,,,,,52,74,91,
,,85,91,,,,,40,,,,,,,,,52,83,,,,,63,,,84,,,
,74,,,,,,,,84,4,,52,,,91,,81,52-52,81-33-1,91,,,,,,,38,,
,,,,,,,,,,48,,,,81,,,,,87,52,20-58-74,,,,,27,,,
70,,,,,74,,,,,15,,,,,,,,,,,33,,,,36-52,,,,
,91,61,,28-4,,14,,,,,81-81,,,,,,,,,,1,,,,,,,14-52-27,
,14,15,,,,74,52,84,,36,,84,33,,,34,,,,,,,,,65,85,91,58,
,,,,79-43-81,,,,,,,31,,,,20,72-27,,,,48,,,,,35,,,45-70,52
69,,91-91,,33,,,,,,,,,,,84,,,70,52,,,,,14,81,,,,
11,14,,,,,,,,,,20,,20,,,57,,,,,,81,,20,,,8,,63
,,,,15-81-35-87,,,,65,,,91,,,57,,,,,,,,43,,,,14-95,,,81
,,,52,,,,81,81,,,,,,,,,,,,,,,,,,,,,37
,11,31,,8,,,,,,,,,,,,14,,,61-57,,,,14,,65,6,,,
,15,,79-52,,,,,38,,1,,,,,91,92,,,52-38,,92,,,8,,,,,
81,33,91,,,,,,33,,,4-11-81,85,,,,,,,,,,,,,91,,,,83
,,,52,,,,,,,,,,,,,,14-15,,90,,,,91-24,,,14-36,,,
,,,,,79,61,95,11,,,24,,20,,81,,,81-11,,,52,,,8,92,,,,90
,,52,,,,81,,91,,,33,,,,,,27,,,,,14,,92-74,,,20,,96
,,63,,,,8,14,,50,,,,,,,,,8,,,36,,91,,95-36,,,,
70-20,,,,35,,,,40,,,65-27,,,,,,,,,52,,,,79-72,71,,,53,58
,,74,11,,,,81-52,,33,86,,,81,,,,,91,,,63,,,,,,,,
,,,,,,26,,,,,,,91,,91,,52,,33,,,,,,,52-81,,,
,,,52,,,,,20,,,,,71-20,,,84,52-40,,,,,,,,,,,,
43,,,,74,,,11,,14,,,,,,,,,,,65,91,,81,52,,,15,,
,52,,,,70,,,,,74,20,14,,27-4,,,,,27-61,,,,,20,91,,,,
,,20,14-31,,,43,,,,81,,,,18-11,,,,,91,,,,,,96,,,,
,,51,,,,,91-33,,,,,,,,27,,,,27,,88,,14-14,,,,,,60
,11,,,,,,,,,,59,,23,,,52,,,,27,,74,,,16,20,,,
,33,,,,,,,,52,,,,72,,,11,,33,,,,,,,,,,91-61-14,
,52,,,57,,81,,81,,,,14-58,58,52,4-52,,,,,20-81,,,90-81,,92,96,,,
,81,,,,,,,,35,,52,,91,33,20,36,,,,,63,,,92,,,,,
52,,,81,43,,72,,41,,,,,70,,,,,33,,,,,,,,,,,
,,,,,16,91,,,,,,96-51,,,,,,11,,14,,12,,,,,,,52
,52,,61,,61-60,,,91,8-91,,,,,,,,,33,61,,,14,,,,52,43,91-81,97
,,,,,,,,,,,,,,90,,,,,,14,,4,,,,11,,,70
33,,,74,,8-52,,,,,,63,,,,14,,,,,,,20-72,63,,,,20,,
16-92-33,81,20,,,,,,33,,35,,27-14,95,51-81,,52,,,,,,,,,52,,,,81
,,,,61,,,,14,,38,,,65,,,,8-58,,,58,,,,,,,,,
,27,,,,,,,,,,52,,,,,,40-95,,63,,,,,96,,,,,
77,95-12,,,33,,,,,14,,58,60,4-14,58,,,,,,,,38,,31-90,,,,,
,,,1,1-80,,,,34,,21,,,,,,23,52,81,,,,,81,,52,,71,,
,20,,,20,,,,8,,81,14,81-16,33,,,,,,,15,,52,,3,20,,16-61,,
,8,,,,,,,52,,20,,,20-43,,,52-8,,,,,,,84,,,,,,14
,,92,,,,,,14,,,,14,,,,,,,48,,,,,,,,,65,85
,,,91-96,,,,,,,,91,,,,52,,,,,,,95,91,,33,,,,
,16,36,,,,,,,,52,,91,,,,,,,,,91,,,,,71,81,,26
,52,,,,,,,,91,,,,,,,,,,91,,52,63,,,,,91,,
,,,,58,,,52,58,,,,74,,,,65,,,,,,58,,,33,,,,
,14,1,70,,31,,,,33,,,,,,,,,4,16,,,,50-83,,,,,,
52,,,,52,,,,91,,,,43,,,52,,43,,,52,,52,14,,,,52,,
,,,,33-91,72,,,,,,,,,,91-95,14,81,74,52,52,14,,,,,,52,,8
,,,,,91,,,,,,,52,,,,92,,,,,,,,,,,95,,91
,,,,88,52,72,,,,,33-95,63,52-63,,,70,,95,,,,,34,52,,,,,
71,,,,,,,,,,,96,,52,,,57,,,52,,,31,34,63,,,,,58
91-36,,95,,,,20,91,,,1,,,96,,58-14,48,47-91,65-52,,,,,,,,,,,43
,85,,3,,,,33,,,,20,86,,,81,14,,,39,,,,74,,,,,,
83-14-14,,,,,,91-74,,,4,,81,96,,,,52,,,81,,,28,,,,,,,91
,,,50,,,,95,,,65,,,,52,52-57,,61,,,,,,,,,,,96,20
,,,,92,,,,16,,15,,,11,35,,85,,,,,,,16,,,,,,
,,,,,,81,,,96,,80,,,,,,81,4,,77,,52,,,,,,,33
97,,,20,,,,,,,,8,,91,82,,91-52-58,,,,,,52,,,,84,,33-61,
31,84,,,,,,,,,,,,,,,,,,,91,,,40,63,,,,86-1,
,,,58,50-84,,,,,,,,,,,40,,58,,81,97-16,,,,,,,25,,
,31,,33,,33,,,,,4,,,,,33,,1-90,,,4,14,,3,,97,,,,
,,,,83,,91,,20,,,59,20,,,,,,48,,,,4,,,,,,72,
,,8,,,,35,,,,,,52-91,,,81,,69,,,57,,,,43,,,,91,14
,,,,,91,,,,33,96,38-50,,,,,,,14-61,38,,57,,,,,74,43,,
,,43,,,,,,,,,,,16-8-94,35-36,,96,,,,,,,,,16-52-81,91-81,,,
61-52,,15,52,4,,,8,,,52,,,,,88,,,52,36,,,,,,57,,,,95-70
,,,,,,,,27,81-14,,,,,31,,1,,,,72-3,,20,,84-14,,,,92,
,77,77,,14-50,,,,,86,,43,,,,,20,,,11,,15,43,,,,,,33,81
,,8,,,33,,,,,50-92-15,,1,,63,92,,27,,,57,,90,,,,,,90,
,,,,,,51,,,,,,,50,,,,,43,,,,,41,,83,,,,50
,,,25,,6,,,,,,66,,,,,,14,,,,,20-21,85-74,52,,,,61,
,,14,,,,,,,,51,27,69,,,,,,,,,,81,,,,,,66,61
55,,,,8,,,,43,,,,91-2-52,52,8,,,20,52-94,,,91,,,,,,,,
,,,,57,,,,43,1,,16,92,,,82,14,65,70,,,33,,,71,73,,,,65
,,,,,81,,38-92,,,52,,,,,,,,,,,,20,,,,14,27,,48
,,,51-94,1,20-90-36,,52,81,,,,81,,,,,,,,,,52,,,,91,,48-43-52,12
33-84,,,,81-69,,,91,,,,91,91-91,,,,,,,,,,,,,,,,,52-81
,81,,,52,14,,,96,,,,,,16,,,83,,,,,14,,,,,,,
,,,,,,,52,,,,,,,,,91-14,,,,,57,,,,,21,69,,81
,4,,,,8,6,,91-18,,,,,,,,20,,,84-18,,8,,,,,,,15-91-52,81
,40,,,52,,,43,86-60,,,,,,34,,,15,,,,14-52-57-46,,27,11,81,,,12-52,
,,,12,,,20,,,,72,,,,,,,,,,,,,4,,,,,,
81,,,,,,,,57,,52,,,92,,,,,,,,52-28,,,,,,,,
,,,,18-43-58,,4,,,,3,52,,,,92,,,,91,,,,,,,,,,
95,,,,,20,,,20,,,,,,,,,,,92,14,,,,,72,58,,,
,,16,,81,,52,,,52,,81,52,,,,,,,,74,,,,,81-65,,,,57
96,,43,,,,,,,,,,,,,,,,,,,,52,52,14,,,43-52,,
,,,,52,,,,43,,52,,,,,,,,,,,,11,,,,74,77,,
,,33,63,,,,,91,,,81,16,,38,,,,,,,91,,43,,12-52,,63,,1
20,,,,,,,96-21,,,38,,,,52,,,,,8,,20,,,,,,91,63,
,,,,,,,,,,,,,,83,74,,,43,,,,,,12-14,,,,90,
47,,,,,58,,,33,,,,69-85,,,,,,57,,35,84,,,,,,,92,
80,,,,36-53,,33,43,,,,26,,,,86-95,,,,33,,70,,8,,,20,,,
,,33,91,,,,,,,,52,,52,,,81,,81,,,11,52,,94,91,14,,,
,,,,,52,,74,,,81,15,,52,,,,,,,,14,,1,,,,,,
33,,,52,52-52-14,91,,,14,,,,,,58,81,,,,,,,63,95-61,,,,,14,
91,,52,,,,72,,,,,33-52,15,,,,,,,61,,,,52,33,,,,,
,,,,52,,,65,,43,,49,52,14,,,8,52,33,52,52,,,,41,,,,,
,,,,,,,,,20,,,,,,,,80,,,,,,,,,,18,,
,,,,,,61-74,,1,,,27,,52,,,,43,,49,,,,,1,,,,,
36,,52,,,52-91,,,,,,11,52,,,,,50,,58,,,43-91,,69,43,18,,,
,,73,,52,,,,,,,,,66,,,,,,61,,,,,,,,,,
,14,,,14-84,,52,,,,,,,,,,,,,,11,,52,,20,,,,,
,,,,,,1,,,11,,,,,,,81,77,,,,,,,,,,95,,
92,,,95,,,,,,,,,51,,,,,,,,,,14-52,70,,,,,,
,33,81,,,33,52,,,52,,,,52-52,33,,,,,,,,,,,,,,,33
,81,,14,,,14,,,,,48,,,,1-58,,,11,,,52,,,,,,,,
,,,81,56,,91,92,,90,,,,,43,,,36,63-33,90-96,,,,,,95,,81-8,,58
,,,,,,,,60-33,70,,,,,,,,,,,,,,20,,,,,,
,,,,43,51,,87,,,,,,,,14,,16,,,,91,,52,85,,,,,
,,52,91,,,92,,,8,,,,,,91,,50,,,,,95,,79,,,,,
,,,,,61,,,95-20,36,,59,36,,,,,,,,61,52,,,,,,,,
91,,31,91,95,,,,,,,,52,,,,,71,,20,,,43,52-91,,,,8,,64
69,,,,40,,88,,95-52,,,81,,43,,,,,,,,,58,,,,91,,,
,,,,33,,,,,,,,,83,,70,,,,,,,,,,52,,,1-81,
,,,,,,,,,,,,,,,,52,52,,20,,,,,,,,,33,
,74,,,,,52,,14,,,,,,,88-83,,,,,57,,,35-96-34,,31,85,14,33-74,
,,33,,83,,,,,14,,,,,,,,,81,,,,,,,,52,86,,
20,,,96,,,52,,,14,13,52,,72,95-81,8,,,,81,,,52-92,,52-16,15,,33,14,
,,96,,33,,,,,61,,,,,,,,,,,14,,65,,,,,,,
,,18,,,20-14,,91-58,27-20,,91,,,15-36,,20,,,33,,,48,,,,63,,,33-52,
,52,,,,,,,33,,,,80,,,8,50,14,,,,,,3,26,,,,,
26,,90-33,91,,,,,,,,33-65,,,,,,52,,,,,,,,26,,27,,
,,8-74,,,91-71,52,,,,,14,43,,,,,48,,,,,,,,,,,,
,,,27,,,,57,,,,,,4,,,91,,91,92,,43,,,,,,,,31
,,,,4,,,,,36,,81,21,,,,,,,96,,,81,,,,,36-52,,
