Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Year18,Year19,Year20,Year21,Year22,Year23,Year24,Year25,Year26,Year27,Year28,Year29,Year30
,81,91,,,91-87,,,58,,,,,,,,,,72-36,15,88,,,,,11-14,,,48,
,,,36,38,,,,,,,,52,,,50,,,,27,,,,,52,81,55-52,,,91
,52,,,1,,,,92,95-57-26,,,,,,,,,,,,,33,,58,,36,,,71
,92,,,63,,,,,,,,,,74,33,,35,,,95,,,,52-91,16,,,,52
,,,,11,,,33,,,85,,52,,,,,,,14,,,21,,,,,,,
,61,,,58,,,69,,,,,84,96,,,,,,,,,,,,,91,,,91
,,,91,,,,,,,,,,58,,,,,,14,23,,,,8,,,,91,
95,11-91,33,,,36,,,,,,,,,,,,,43,,,,,,,,,33,,14
,,,,,72,,,,8,52,33,,,,,14,81,,70-33,,,,58,,,,,,
,,,,,,,27,96,,,,52-57,,97,,18,,,58,72-11,84,33,,,,,,,
,74-14,,,,,,,52,,,20,20,,51,16-43,,36,,,,,,,,,,91-11,,
,,21,15,,96,,80,,,,14,,,40,14,,,,,,71,14-26,,,1,,,11,
81,,96-14,,91,,79,,52,,,,,,,,,,,52,,,,,,,,,,
,91,,,,95,,,14,52,,,,90-92,,,,,33,63,,,,,33,81,,,84,
,,,,,38,86,,,,8,,,67,,,83,82,,,,20,,74,14,,,,,
,,,,,,,33,,,,58,90,,,33,,,,,91,,,,,,,,95,
,,1,3,,91,43,,,,,91,4,33,,,,,,,,,33-33,,,,20,,,
,16,81,4,,14,,91,,,,,,,,,70,,,,14,70,,,52,33,95,8,,
,1,,70,,,,,72,,,33,8,,24,,,91,,,,33-26,,61,,,80,14,52,
,80-91,,,,41,,,85-81,,52,52,,,,1,,,,43-33,,,,,,,,81-20,,
,48-53,92-81-33,71,,52,20,,43,,47,,,86,,96,,,,,,43,,,,,74,52-52,,
,,,61,,,33,,,,,,,,,,,,,33,,,,,,,16,92,,
52,,,,,,65,96,,52,,91-70,,,,,20,,,,,43,,,,,24,,,63-43
,,,43-64,48,,,,,,81,,,91,,,,,38-81,33,,,,,90-52,,74,,,
,,58-72,,,,14,,,,43-57,,,,,,,,,,,,,,,52,,,,
,81,91-96,,,14,52,,,,,,55,37-52,,,83,,,52,,,14,,,,,,33,36
81,,,,91,,,,,,,95,,,52,,,,,,58,69,,,,,,,,
,,80,,57-91,,,,91,,,,81,,82,95,,,91,58,52,,,,,11,,,,
,,34,95,,,,,51,,31,,,,,,,,,58,,,,57,,52,,,,
81,,,1,,,,16,,,,52,,,52,14,,,58,85,,,,,,,,59,36,
67,,,,,81-1,,,,14,,,52,,,,,81,81,,,,,33,52,,,61,,
,43,,52-58,,57,52,40-26,,,,,,,,,,,,57,,,96,,,,,,,91
,,,,,,52,81-91,,8-8-94,,,,14,,,,,,74-91,95,95,,,,,,,,
,,,,,,,,,96,,,,,,33,,20-3,83,,,,38,57-91,95,,,,,
,,,,,,,,97,,52,57,,,,43-52,,,,,57-81,,,81-84,,,14,,,43
,,20,,,,33,,96,,,,52,,,,,,,,94,,91,52,,,,1,,92
,,84,8,,8,,,33-52,,,,,,,,,74,61,57,,,,92,81,91,,,,
,,,,,,20,,4,27,,,,,,77,57,,,,,,81,,,,,,60,
,,26,,,,36,,96,43,,,85,52,,,,,,11,,,20,91-91,,,,,,35
,,,,70-52,,91,63,,,,,11,,,31,,,,15,,84,,,,,,81-43,74,
,,,,,,,26-84,,,33,16-63,,,,,,,,,,,,61,,,33,,,
,31,14,,,,81,,52,,,52,,,,91,91,,91,,,,,,,,,23,58,
81,,,,,,33,,,,,,,,,52,,,,,,,,16,52,,64,,,
,,,,,,20,,,,,,,,,97,,,,,,,,1,,,,86,,
,,57-91,,20,,63,,26,,58,,43,,,,,,85-15,,,,,,,,43,,,
,,,,,,,35,91,,91-81,,,20,,,,91,,,,,15,,,,,52,70,
,,,,,52,20,20,,69,,,,52,,81,,,92-4-27,,33,,,33,,,79-33,,,
52,33,,,82-20-63,14,,,,,,,38,63-81,,,,,84,40,79,33,,16,,,,,52,
,14,33,,61,,,,,,,81,,,,,,,,12,,,,,,,,11,,
20,,,81,,,,91-57-81,52,,86,11,,91,20,,,,,,,88,41-72,48,,,94-18,,,
71-87,81,,,,,,,,52,92,81-4,1,,24,,,,,48,,4,,,,33,,,,74
,52,57,1-72,,55,,,,,,,,,15,52-81,20,,40,52,,,,81-91,43,,52,,,
,8,81,,,,91,,,,,,,,,,,,,,,,,,,,,,,61-81
,,33,,,,,,,33,,,,,36-52,33-58,,,,,,,,,,69,,,74,
,48-33,,,,,,,,,,,,,,,52,,86,,,83,43,81,,,33-69,20,,
52,,52,,,,,91,55,,,,14,81-63,15,,,81-16-79,50-84,,,,,,,,33,,,
14,31,26,81,,,14,,52,52,,,71,81,,,70,,,,,,,,59,,4-52,,,
20,51,74-74,,91,20,38,,,43,96-36,,,,,,,,,,,,60-91,,,,52-14,,,
,20,,,33,14,96,33,,,,,,,,,,,,,,,57,,11,,,,14,52
33,1,,,,,,,65,,63,52,,83-81,,,63,,,,,,,52,,,,,,33
,,33,,20-15,,,,,,33,84-15,,,,81,74,33,,,,,,,50,70-33,,,,
,74,,14,,,,,,14,33,82,16,38,,,,,,,,,,,,,,28,,
,63,52,36,,,52,33,,20,81,,,36,91,96,,,91,,,,,,38,,,,,
1,,,52,,,,,,,,72,,52,,33-48,,,,,27,4,52,,,81,,52-91,,
,,,,14,,,,,,,,,,,81,14,,,,,,,,33,,,,,
,65,,,,,,,,,,,,,,,,74-33,,,,81,20,,52,,,84,33-40,
,,,43,,11-33,,85,,,,41,,1,,,,,,,59,,,,71-81-43,81,,,,57
,,,97,52,,,,71,,,,,38,,81,58,,,,,,20,,58,,43,,14,
91,,,58,,,,,96,,20,,,33,,,,,,,,,14,58,,15,,52,,
92-1,,,,81,52,,,,,,,14,52,,,,,,,43,,52-1-79,,,82-52,,,,
,81,,,11,33,14,,33,,,96,,27-91-60,36,51,,,,,,74,,,52,16,,,92,15
,63,,,63,,,,,,,,,,,,,,,81,,,,,,84-11,84,52,,
,91,14,,,,,,,,,91,43,,52,,,,48-71,,,,,,,,85,91,,
,,,,,,,,33,,,,,,,,,58,52,,,48,,,,,52,,,
,91-58,,,,88,,,,,52,,,63-57,70,,86,52,57,33-16,97,,,,,14-65,,52,23,
38,,,,,,,,,,,,,52,88,,,57,91,91,,,63,,,,33,,,
,88,,,,51,,,63,74,,,,52,,,,,,91-83,,77,,,,,,,14,
,,95,,,,81,95,,,,,,,,11,,,,,,,14,,,,,,,
,,52,,14,24,,,,48,52,,,20-4,,,,,1,36,,,,,,,,33-81,,
,,,,80,,,,,,,,15,,,,,,15,,,52,81,,52,,,36,8,
51,,52,,,,,26-65,,,,,,,,20,,,33,,33,,,,,,81,,,
,52-63,95,,,,36,,,,,,91,,20,,,,,,,,,,,33-91,33,,,81
,,8-20,52,91,48,,,,,,39,,,,,,,,70,,,72,,,,,,79,96
,,,,,,,97-70,52,,,81,,,,,,,,14,,,,,96,,,49-91,33,
,20,,,33-33,43,,40,20,,,,63,,,,96-81,,1,,13,,,52,32-52-91,,,,,
81-36,74,,,,,20,,,77,32,,,,,,,,1,,,96,38-8,71,,,,,14,
,,58,,,,,,,,,,,11,,,91,,72,,,,,81,20,21,,,,97-15
,52-81,61,,,81-26,43,,,16,,,16,,,,11,,,,3,83,63,,11,,,8,91,
43,,81,,,33,,,13,52,91-74-59-23,33,,,,,,,,,,,,,,,,,,
,,,,61,,84,,,,,,,,,15,52,,,,,91,,81,,,,,72,
,33,52-91,,,,,,,,,,,16,81,81,43,,,11,,,,,,33,,14,,
92,,,,,,,57,33,,,51,52-52-81,,,,,,,,,,,,,,,52,,38
,84,,,39,43,,,14,,,,,91,,47,8,31,,,,,,,,,,,,91
61,18,,,,90,,,,,91,33,52,4-41,,52,36,,,3,,,,16,,,,,,
,,,,,,,,,,,,,14,,18,,,,,,,,,,,,,,52
,52,69,,4,,,91-48,,14,,81,1-14,,49,,,95,91,,,,,,,,38,,,
,,,,91,8,,,,40,,,,,,43,,,,,,14-33,,,,,,,,
,1,16,,,,,,11,,88,80,,,52-52,52,14-63,14,43-20,,74-69,,95,,91,27,,,,47
,52,,,,57,,20,,,,,,36-60,,,,,,50,33,,14,52,,,,,,
,,,31,59,,81,21,,,,,,,,,,,,,,,,52,,49,,,27-43-69,
15,,,,,,,,,,,,85,,60,,,,,,,52,,72,95,,,,95,
